,All Locations,Duration,Earliest Start Date,Application Deadline,Languages,Study Type,Pace,Tuition Fees**,url,Tuition Fees*,Tuition Fees,Study Locations,"Belgium, Brussels"
96,"France Online, France",18 months,Request Info,Request Info,French,Online,Part-time,,https://www.onlinestudies.com/Executive-MBA-ISG-EPITA-Management-of-Digital-Transformation/France/IONISx/,,"EUR 13,000",,
97,"France Online, France",18 months,Request Info,Request Info,French,Online,Part-time,,https://www.onlinestudies.com/Executive-MBA-Epitech-Management-and-IT-Entrepreneurship/France/IONISx/,,"EUR 13,000",,
98,"Paris, France, Chéraga, Algeria, Bir El Djir, Algeria",12 - 18 months,Sep 2022,Request Info,"French, English",Campus,Full-time,,https://www.mbastudies.com//Global-Executive-MBA/France/Campus-Stratinnov/,,Request Info,,
99,"Paris, France, Chéraga, Algeria, Bir El Djir, Algeria",12 - 18 months,Sep 2022,Request Info,"French, English",Campus,Full-time,,https://www.mbastudies.com/International-Global-Executive-MBA/France/Campus-Stratinnov/,,Request Info,,
100,"Paris, France, Chéraga, Algeria, Bir El Djir, Algeria",12 - 18 months,Sep 2022,Request Info,"French, English",Campus,Full-time,,https://www.mbastudies.com/Specialized-MBA-(BAC-6)/France/Campus-Stratinnov/,,Request Info,,
101,"Paris, France",2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-International-Business-Development-(option-Luxury-and-Hospitality-Management)/France/ILCI-Business-School/,"EUR 3,500 / year",,,
102,"Paris, France",2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-International-Business-Development/France/ILCI-Business-School/,"EUR 3,300 / year",,,
103,"Paris, France",2 years,Request Info,Request Info,"French, English",Campus,Full-time,,https://www.mbastudies.com/MBA-International-Purchasing-Management-(RNCP-Level-I)/France/ILCI-Business-School/,,"EUR 3,300 / year",,
104,"Paris, France",2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business-Marketing-Specialization/France/ILCI-Business-School/,,"EUR 3,300 / year",,
105,"Paris, France",1 year,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Risk-Management-International-Security-and-Cybersecurity/France/LEcole-de-Guerre-Economique/,,"EUR 14,500 / year",,
106,"Paris, France",1 year,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Strategic-Management-and-Economic-Intelligence/France/LEcole-de-Guerre-Economique/,,"EUR 14,500 / year",,
107,"Paris, France",1 - 2 years,Request Info,Request Info,French,Campus,Part-time,,https://www.mbastudies.com//MBA-Risks-International-Security-and-Cybersecurity/France/LEcole-de-Guerre-Economique/,,"EUR 12,500 / year",,
108,"Paris, France",1 year,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com//MBA-Specialized-Strategy-and-Economic-Intelligence/France/LEcole-de-Guerre-Economique/,,"EUR 12,500 / year",,
109,"Paris, France",11 months,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-Business-Strategy-Governance-of-Organizations-and-Resilience/France/LEcole-de-Guerre-Economique/,,"EUR 12,500 / year",,
110,"Cairo, Egypt, Lille, France",1 year,Open Enrollment,Request Info,"English, French, Chinese",Online,Full-time,,https://www.onlinestudies.com/MBA-in-Artificial-Intelligence-and-Business-(ISEN)/Egypt/Bloom-Business-School/,"EUR 4,000",,,
111,"Aix-en-Provence, France",1 year,Request Info,Request Info*,English,Campus,Full-time,"USD 44,140",https://www.mbastudies.com/Global-Master-of-Business-Administration/France/The-American-College-of-the-Mediterranean/,,,,
112,"Paris, France",1 year,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Digital-Marketing-Strategy/France/De-Vinci-Higher-Education-Group/,,"EUR 14,700 / year",,
113,"Paris, France",2 years,Request Info,Request Info,French,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Sports-Management/France/SMS-Sports-Management-School/,,"EUR 19,400",,
114,"Paris, France",2 years,Request Info,Request Info,French,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Sports-Events/France/SMS-Sports-Management-School/,,"EUR 19,400",,
115,"Paris, France",2 years,Request Info,Request Info,French,Campus,Part-time,,https://www.mbastudies.com/MBA-in-Sports-Marketing/France/SMS-Sports-Management-School/,,"EUR 19,400",,
116,"Lyon, France",2 years,Request Info,Request Info,"English, French",Campus,,,https://www.mbastudies.com/MBA-in-International-Hospitality-Management/France/SHG-Lyon/,"EUR 10,500 / year",,,
117,"Île-de-France, France",2 years,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Hospitality-Management/France/SHG-Paris/,"EUR 11,500 / year",,,
118,"Lyon, France",2 years,Request Info,Request Info,"English, French",Campus,,,https://www.mbastudies.com/MBA-in-International-Business-Management-(IBM)/France/SHG-Lyon/,"EUR 10,500 / year",,,
119,"Île-de-France, France",0 - 2 years,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/International-MBA/France/IONIS-Education-Group/,,Request Info,,
120,,,,,,,,,https://www.mbastudies.com/MBA-Digital-Marketing-Communication-and-Social-Media/France/ISEG-Business-And-Finance-School-school-of-management/,,,,
121,,,,,,,,,https://www.mbastudies.com/MBA-in-Events-and-Public-Relations/France/ISEG-Business-And-Finance-School-school-of-management/,,,,
122,,,,,,,,,https://www.mbastudies.com/MBA-Marketing-Brand-Management-and-Innovation/France/ISEG-Business-And-Finance-School-school-of-management/,,,,
123,"Île-de-France, France",0 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/MBA-LUXURY-MANAGEMENT-ARTISTIC-DIRECTION/France/Moda-Domani-Institute/,,Request Info,,
124,"Lyon, France",Request Info,Request Info,Request Info,"English, French",Campus,,,https://www.mbastudies.com/MBA-in-International-Hotel-Management/France/Vatel-Lyon-and-Nantes/,,Request Info,,
125,,,,,,,,,https://www.mbastudies.com/MBA-in-The-Luxury-Management-specialization/France/vatel/,,,,
126,,,,,,,,,https://www.mbastudies.com/MBA-in-The-Ecotourism-Management-specialization/France/vatel/,,,,
127,,,,,,,,,https://www.mbastudies.com/MBA-in-The-International-Wine-and-Spirits-Management-specialization/France/vatel/,,,,
128,"Paris, France",16 months,Request Info,Request Info,English,Campus,Part-time,,https://www.mbastudies.com/MBA-Program/France/European-Institute-of-International-Management/,,Request Info,,
129,"Longuenesse, France",18 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Full-Time-Programme/France/ESCIP-School-of-International-Business/,,"EUR 9,600 / year",,
130,,,,,,,,,https://www.mbastudies.com/MBA-Master-of-Business-Administration/Netherlands/EuroMBA/,,,,
131,"Île-de-France, France",Request Info,Request Info,Request Info,English,Campus,,,https://www.mbastudies.com//MINI-MBA-IN-OIL-and-GAS/France/Innovative-Knowledge-Institute-Paris-Graduate-School/,,Request Info,,
132,"Île-de-France, France",Request Info,Request Info,Request Info,English,Campus,,,https://www.mbastudies.com//MINI-MBA-in-FINANCE-and-BANKING/France/Innovative-Knowledge-Institute-Paris-Graduate-School/,,Request Info,,
133,"Montpellier, France",0 - 2 years,Request Info,Request Info,French,Campus,Full-time,,https://www.mbastudies.com/Executive-MBA-in-leadership-governance-and-team-performance/France/UPVM/,,Request Info,,
134,"Paris, France",1 year,Oct 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com//MBA-International-Marketing-and-Communication-strategy-with-focus-on-luxury-Industry/France/ESP-School-of-Communication-and-Marketing/,,Request Info,,
135,"Nice, France",6 - 18 months,Request Info,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-Marketing/France/IAE-Nice/,,,,
136,"Paris, France, Milan, Italy",1 year,Request Info,Request Info,"English, French",Campus,Full-time,,https://www.mbastudies.com/MBA-ParisMilan-in-Luxury-Brand-Management/France/ModArt/,,"EUR 14,000 / year",,
137,"Paris, France",0 months,Sep 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-MBA/France/IIP/,,Request Info,,
138,"Panama City, Panama, Shanghai, China, Bogotá, Colombia, Paris, France, Buenavista, Mexico, New Orleans, USA",0 months,Mar 2022,Request Info,Spanish,Campus,Full-time,,https://www.mbastudies.com/Mba-Master-In-Administration/Panama/IESA-Instituto-de-Estudios-Superiores-de-Administración/,,Request Info,,
139,"Caracas, Venezuela, Panama City, Panama, Shanghai, China, Bogotá, Colombia, Paris, France, Buenavista, Mexico, New Orleans, USA",Request Info,Oct 2022,Request Info,Spanish,Campus,Part-time,,https://www.mbastudies.com/Global-MBA/Venezuela/IESA-Instituto-de-Estudios-Superiores-de-Administración/,,Request Info,,
140,"Caracas, Venezuela, Panama City, Panama, Shanghai, China, Bogotá, Colombia, Paris, France, Buenavista, Mexico, New Orleans, USA",Request Info,Oct 2022,Request Info,Spanish,Campus,Part-time,,https://www.mbastudies.com/Master-In-Management-For-Executives/Venezuela/IESA-Instituto-de-Estudios-Superiores-de-Administración/,,Request Info,,
141,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Artificial-Intelligence/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
142,"Bad Honnef, Germany, Berlin, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
143,"Villingen-Schwenningen, Germany",3 semesters,Oct 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-International-Business-Management/Germany/HFU/,"EUR 12,390 / semester",,,
144,"Berlin, Germany",2 - 5 years,May 2022,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Global-Online-MBA/Germany/ESMT/,"EUR 26,500",,,
145,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-International-Business/Spain/Euruni/,"EUR 20,850 / year",,,
146,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Innovation-and-Entrepreneurship/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
147,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Supply-Chain-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
148,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Human-Resource-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
149,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Healthcare-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
150,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-E-Sports-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
151,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//MBA-in-International-Marketing/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
152,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-IT-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
153,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Finance-and-Accounting/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
154,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Engineering-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
155,Online,18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com/MBA-in-Big-Data-Management/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 13,302",,,
156,Online,12 - 18 months,Open Enrollment,Request Info,English,Online,Full-time,,https://www.onlinestudies.com//Master-of-Business-Administration/Germany/IU-International-University-of-Applied-Sciences-Online-Studies/,"EUR 8,988",,,
157,"Bad Honnef, Germany, Berlina, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com//MBA-in-Artificial-Intelligence/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
158,"Bad Honnef, Germany, Berlin, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Innovation-and-Entrepreneurship/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
159,"Bad Honnef, Germany, Berlin, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Supply-Chain-Management/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
160,"Bad Honnef, Germany, Berlin, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Human-Resource-Management/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
161,"Bad Honnef, Germany, Berlin, Germany",18 months,Apr 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Healthcare-Management/Germany/IU-International-University-of-Applied-Sciences-–-MyStudies/,"EUR 8,868 / year",,,
162,"Berlin, Germany",1 year,Request Info,Request Info*,English,Campus,Full-time,"EUR 43,500 / year",https://www.mbastudies.com/Master-of-Business-Administration-(MBA)-Full-Time/Germany/ESMT/,,,,
163,"Berlin, Germany",24 months,Request Info,Request Info*,English,Online & Campus Combined,Part-time,"EUR 19,000 / year",https://www.mbastudies.com//Master-of-Business-Administration-(MBA)-Part-Time/Germany/ESMT/,,,,
164,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Communication-and-Public-Relations/Spain/Euruni/,"EUR 20,850 / year",,,
165,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-International-Marketing/Spain/Euruni/,"EUR 20,850 / year",,,
166,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Global-Banking-and-Finance/Spain/Euruni/,"EUR 20,850 / year",,,
167,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany",1 - 2 years,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Leisure-and-Tourism-Management/Spain/Euruni/,"EUR 20,850 / year",,,
168,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Entrepreneurship/Spain/Euruni/,"EUR 20,850 / year",,,
169,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Digital-Business/Spain/Euruni/,"EUR 20,850 / year",,,
170,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany",1 - 2 years,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Sports-Management/Spain/Euruni/,"EUR 20,850 / year",,,
171,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Human-Resources-Management/Spain/Euruni/,"EUR 20,850 / year",,,
172,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany",1 - 2 years,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-in-Design-Management/Spain/Euruni/,"EUR 20,850 / year",,,
173,"Barcelona, Spain, Geneva, Switzerland, Munich, Germany, Switzerland Online, Switzerland",1 - 2 years,Mar 2022,Request Info,English,Online & Campus Combined,Full-time,,https://www.mbastudies.com/MBA-in-Blockchain-Management/Spain/Euruni/,"EUR 20,850 / year",,,
174,"Munich, Germany",1 year,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/Master-of-Business-Administration-(MBA)/Germany/Euruni/,,"EUR 6,950 / semester",,
175,"Munich, Germany",1 year,Mar 2022,Request Info,English,Campus,Full-time,,https://www.mbastudies.com/MBA-(Project-Management)/Germany/Euruni/,"EUR 6,950",,,
